Record#,Institution,Female_Asian,Female_Black,Female_Hispanic,Female_American_Indian,Female_Multi,Female_White
1978,263,,,2,,,4
2034,263,3,7,8,1,4,42
1980,263,2,1,2,,1,4
2035,263,6,,7,,4,30
1981,263,2,2,,,,3
2031,263,2,8,14,1,4,34
1952,117,5,3,4,4,6,16
1953,117,10,1,2,4,3,18
1954,117,15,1,3,3,4,24
1955,117,11,3,7,3,2,31
1956,117,11,3,10,3,3,36
1957,117,19,9,17,3,4,52
1958,117,32,6,25,3,11,53
2036,117,46,13,35,,17,67
1959,117,7,3,7,3,3,10
1960,117,5,4,3,1,1,12
1961,117,2,3,3,,5,16
1962,117,4,4,6,1,4,12
1963,117,8,4,4,1,2,17
1964,117,8,1,6,,3,15
1965,117,4,2,6,,2,22
2032,117,5,4,11,1,3,21
1971,117,6,4,11,4,2,32
1972,117,4,1,10,5,5,37
1973,117,8,2,8,4,3,27
1974,117,8,1,13,2,2,33
1975,117,12,3,17,,2,31
1976,117,14,3,20,,3,31
1977,117,16,1,24,2,6,33
2033,117,14,,24,2,9,40
4767,117,2,2,2,0,0,4
1979,117,,,1,,1,2
2030,117,1,1,4,1,1,3
1966,117,,,,2,,3
1967,117,,,5,1,1,4
1968,117,,1,5,,3,8
2029,117,3,9,20,1,4,42
2112,395,,,,,,
2113,395,,,,,,
2114,395,,,,,,
2115,395,,,,,,
2116,395,,,,,,
2117,395,,,,,,
2118,395,,,,,,
2119,395,,,,,,
2120,395,,,,,,
2121,395,,,,,,
2122,395,,,,,,
2123,395,,,,,,
2124,395,,,,,,
2125,395,,,,,,
2126,395,,,,,,
2127,395,,,,,,
2128,395,,,,,,
2129,395,,,,,,
2130,395,,,,,,
2131,395,,,,,,
2132,395,,,,,,
2133,395,,,,,,
2134,395,,,,,,
2135,395,,,,,,
2152,379,,,,,,
2153,379,,,,,,
2154,379,,,,,,
2155,379,,,,,,
2156,379,,,,,,
2157,379,,,,,,
2158,379,,,,,,
2159,379,,,,,,
2144,379,,,,,,
2145,379,,,,,,
2146,379,,,,,,
2147,379,,,,,,
2148,379,,,,,,
2149,379,,,,,,
2150,379,,,,,,
2151,379,,,,,,
2136,379,,,,,,
2137,379,,,,,,
2138,379,,,,,,
2139,379,,,,,,
2140,379,,,,,,
2141,379,,,,,,
2142,379,,,,,,
2143,379,,,,,,
2168,21,,,,,,
2169,21,,,,,,
2170,21,,,,,,
2171,21,,,,,,
2172,21,,,,,,
2173,21,,,,,,
2174,21,,,,,,
2175,21,,,,,,
2160,21,,,,,,
2161,21,,,,,,
2162,21,,,,,,
2163,21,,,,,,
2164,21,,,,,,
2165,21,,,,,,
2166,21,,,,,,
2167,21,,,,,,
4488,297,,,,,,
2176,297,,,,,,
2177,297,,,,,,
2178,297,,,,,,
2179,297,,,,,,
2180,297,,,,,,
2181,243,,,,,,
2182,243,,,,,,
2183,243,,,,,,
2184,243,,,,,,
2185,243,,,,,,
2186,243,,,,,,
2187,243,,,,,,
2188,243,,,,,,
2192,262,,,,,,
2193,262,,,,,,
2194,262,,,,,,
2195,262,,,,,,
2196,262,,,,,,
2197,262,,,,,,
2198,262,,,,,,
2199,262,,,,,,
2200,262,,,,,,
2201,262,,,,,,
2189,262,,,,,,
2190,262,,,,,,
2191,262,,,,,,
2202,262,1,0,0,0,0,3
2203,262,1,0,0,0,0,0
2204,262,0,0,0,0,1,1
2205,262,0,0,1,0,1,3
2206,262,2,1,1,0,0,4
5240,262,6,0,1,0,4,6
5241,262,6,0,1,0,5,12
5242,262,12,1,1,0,2,16
5243,262,10,2,1,0,2,14
2207,262,3,0,0,0,0,8
2208,262,4,0,0,0,0,4
2209,262,2,0,0,0,1,6
2210,262,1,1,0,0,1,6
2211,262,3,1,0,0,0,8
4571,262,22,2,1,0,7,29
5244,262,5,0,0,0,0,13
5246,262,10,1,0,0,5,12
5247,262,5,1,0,0,3,13
2217,262,,,,,,
2218,262,,,,,,
2219,262,,,,,,
2220,262,,,,,,
2221,262,,,,,,
5245,262,5,1,0,0,3,13
2212,262,,,,,,
2213,262,,,,,,
2214,262,,,,,,
