record_id,major,degree,school,school_year,female_new_enrollment,female_total_graduated
3728,Computer Science,Bachelor's,101,2004-2005,,
3729,Computer Science,Bachelor's,101,2005-2006,,
3730,Computer Science,Bachelor's,101,2006-2007,,
3731,Computer Science,Bachelor's,101,2007-2008,,
3732,Computer Science,Bachelor's,101,2008-2009,,
3733,Computer Science,Bachelor's,101,2009-2010,,
3734,Computer Science,Bachelor's,101,2010-2011,,
3735,Computer Science,Bachelor's,101,2011-2012,,
4704,Computer Science,Bachelor's,104,2015-2016,,
4441,Computer Science,Bachelor's,105,2015-2016,,
2466,Information Technology,Bachelor's,109,2005-2006,,
2467,Information Technology,Bachelor's,109,2006-2007,,
2468,Information Technology,Bachelor's,109,2007-2008,,
2469,Information Technology,Bachelor's,109,2008-2009,,
2470,Information Technology,Bachelor's,109,2009-2010,,
2471,Information Technology,Bachelor's,109,2010-2011,,
2472,Information Technology,Bachelor's,109,2011-2012,,
2473,Information Technology,Bachelor's,109,2010-2011,,
2474,Information Technology,Bachelor's,109,2011-2012,,
2458,Computer Science,Bachelor's,109,2004-2005,,
2459,Computer Science,Bachelor's,109,2005-2006,,
2460,Computer Science,Bachelor's,109,2006-2007,,
2461,Computer Science,Bachelor's,109,2007-2008,,
2462,Computer Science,Bachelor's,109,2008-2009,,
2463,Computer Science,Bachelor's,109,2009-2010,,
2464,Computer Science,Bachelor's,109,2010-2011,,
2465,Computer Science,Bachelor's,109,2011-2012,,
4598,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,110,2009-2010,28,4
4599,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,110,2010-2011,15,9
4600,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,110,2011-2012,30,10
4601,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,110,2012-2013,29,11
4602,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,110,2013-2014,39,16
4603,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,110,2014-2015,7,10
4881,CS and/or Eng Multiple Majors (data submitted in aggregation),Bachelor's,110,2015-2016,9,21
4985,Computer Science,Bachelor's,110,2006-2007,,
4986,Computer Science,Bachelor's,110,2007-2008,,
4987,Computer Science,Bachelor's,110,2008-2009,,
4988,Computer Science,Bachelor's,110,2009-2010,,
4989,Computer Science,Bachelor's,110,2010-2011,,
4990,Computer Science,Bachelor's,110,2011-2012,,
4991,Computer Science,Bachelor's,110,2012-2013,,
4992,Computer Science,Bachelor's,110,2013-2014,,
4993,Computer Science,Bachelor's,110,2014-2015,,
